uid,date,titre,type_vote,adopte,dossier_ref,nb_votants,pour,contre,abstention
VTANR5L17V1,2024-10-08,"la motion de censure déposée en application de l'article 49, alinéa 2, de la Constitution par M. Boris Vallaud, Mme Mathilde Panot, Mme Cyrielle Chatelain, M. André Chassaigne et 188 de leurs collègues.",motion de censure,rejeté,,197,197,0,0
VTANR5L17V3,2024-10-09,l'article unique de la proposition de résolution tendant à la création d'une commission d'enquête sur les manquements des politiques publiques de protection de l'enfance.,scrutin public ordinaire,adopté,,204,204,0,0
VTANR5L17V2,2024-10-09,"l'article unique de la proposition de résolution tendant à la création d'une commission d'enquête relative aux violences commises dans les secteurs du cinéma, de l'audiovisuel, du spectacle vivant, de la mode et de la publicité.",scrutin public ordinaire,adopté,,226,226,0,0
VTANR5L17V4,2024-10-14,"la motion de rejet préalable, déposée par Mme Mathilde Panot, du projet de loi relatif aux résultats de la gestion et portant approbation des comptes de l'année 2023 (première lecture).",scrutin public ordinaire,adopté,,159,108,50,1
VTANR5L17V5,2024-10-15,"la motion de rejet préalable, déposée par Mme Mathilde Panot, du projet de loi d'approbation des comptes de la sécurité sociale de l'année 2023 (première lecture).",scrutin public ordinaire,adopté,,353,235,117,1
VTANR5L17V15,2024-10-22,l'amendement n° 465 de M. Sansu à l'article 3 du projet de loi de finances pour 2025 (première lecture).,scrutin public ordinaire,rejeté,,235,104,130,1
VTANR5L17V18,2024-10-22,l'amendement n° 1768 de M. Le Coq à l'article 3 du projet de loi de finances pour 2025 (première lecture).,scrutin public ordinaire,rejeté,,165,61,103,1
VTANR5L17V12,2024-10-22,l'article 2 du projet de loi de finances pour 2025 (première lecture).,scrutin public ordinaire,adopté,,130,104,3,23
VTANR5L17V14,2024-10-22,l'amendement n° 3387 de M. Vallaud à l'article 3 du projet de loi de finances pour 2025 (première lecture).,scrutin public ordinaire,rejeté,,237,105,130,2
VTANR5L17V21,2024-10-22,l'article 3 du projet de loi de finances pour 2025 (première lecture).,scrutin public ordinaire,adopté,,258,191,35,32
VTANR5L17V20,2024-10-22,l'amendement n° 755 de M. Philippe Brun et les amendements identiques suivants à l'article 3 du projet de loi de finances pour 2025 (première lecture).,scrutin public ordinaire,adopté,,262,138,56,68
VTANR5L17V16,2024-10-22,l'amendement n° 642 de M. Sansu à l'article 3 du projet de loi de finances pour 2025 (première lecture).,scrutin public ordinaire,rejeté,,233,103,129,1
VTANR5L17V10,2024-10-22,l'amendement n° 1762 de M. Le Coq et l'amendement identique suivant à l'article 2 du projet de loi de finances pour 2025 (première lecture).,scrutin public ordinaire,rejeté,,187,77,106,4
VTANR5L17V11,2024-10-22,l'amendement n° 464 de M. Maurel et les amendements identiques suivants à l'article 2 du projet de loi de finances pour 2025 (première lecture).,scrutin public ordinaire,rejeté,,182,76,106,0
VTANR5L17V8,2024-10-22,l'amendement n° 2086 de M. Lefèvre et l'amendement identique suivant à l'article liminaire du projet de loi de finances pour 2025 (première lecture).,scrutin public ordinaire,rejeté,,244,111,132,1
VTANR5L17V7,2024-10-22,l'amendement n° 2085 de M. Lefèvre et l'amendement identique suivant à l'article liminaire du projet de loi de finances pour 2025 (première lecture).,scrutin public ordinaire,rejeté,,196,71,124,1
VTANR5L17V19,2024-10-22,l'amendement n° 1770 de Mme Maximi à l'article 3 du projet de loi de finances pour 2025 (première lecture).,scrutin public ordinaire,rejeté,,171,67,103,1
VTANR5L17V9,2024-10-22,l'article liminaire du projet de loi de finances pour 2025 (première lecture).,scrutin public ordinaire,adopté,,279,162,116,1
VTANR5L17V17,2024-10-22,l'amendement n° 2948 de M. de Courson à l'article 3 du projet de loi de finances pour 2025 (première lecture).,scrutin public ordinaire,adopté,,210,155,55,0
VTANR5L17V13,2024-10-22,l'amendement n° 1764 de Mme Feld à l'article 3 du projet de loi de finances pour 2025 (première lecture).,scrutin public ordinaire,rejeté,,234,102,128,4
VTANR5L17V6,2024-10-22,l'amendement n° 109 de M. Sitzenstuhl et les amendements identiques suivants à l'article liminaire du projet de loi de finances pour 2025 (première lecture).,scrutin public ordinaire,adopté,,251,144,107,0
VTANR5L17V45,2024-10-23,l'amendement n° 1777 de M. Le Coq après l'article 3 du projet de loi de finances pour 2025 (première lecture).,scrutin public ordinaire,rejeté,,214,83,120,11
VTANR5L17V39,2024-10-23,l'amendement n° 3591 de M. Mandon après l'article 3 du projet de loi de finances pour 2025 (première lecture).,scrutin public ordinaire,rejeté,,145,25,86,34
VTANR5L17V25,2024-10-23,l'amendement n° 3028 de Mme Rixain après l'article 3 du projet de loi de finances pour 2025 (première lecture).,scrutin public ordinaire,adopté,,105,66,39,0
VTANR5L17V24,2024-10-23,l'amendement n° 2688 de M. Causse après l'article 3 du projet de loi de finances pour 2025 (première lecture).,scrutin public ordinaire,adopté,,95,50,42,3
VTANR5L17V27,2024-10-23,l'amendement n° 1536 de Mme Errante et les amendements identiques suivants après l'article 3 du projet de loi de finances pour 2025 (première lecture).,scrutin public ordinaire,adopté,,101,65,35,1
